epoch,accuracy,learning_rate,loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,0.25266122817993164,0.0010000000474974513,2.2212839126586914,0.3307226300239563,0.2502388361866079,1.9849045276641846,0.30742386920644366,0.2564636138379424
1,0.36782509088516235,0.0010000000474974513,1.9048832654953003,0.49039265513420105,0.4138693940748313,1.6355377435684204,0.47199064978229116,0.4263942867574387
2,0.4865111708641052,0.0010000000474974513,1.6318022012710571,0.587614893913269,0.5332622541276223,1.3885968923568726,0.5711334188743556,0.5309650676633476
3,0.5553120374679565,0.0010000000474974513,1.451093077659607,0.6427527070045471,0.5922390508794241,1.272675633430481,0.6279937993373634,0.5943591938294593
4,0.611693799495697,0.0010000000474974513,1.3120224475860596,0.6961153149604797,0.6692683604143927,1.136988878250122,0.6892489094595731,0.6744216382461312
5,0.6511688828468323,0.0010000000474974513,1.2076287269592285,0.7364243865013123,0.7061179461791712,0.9972992539405823,0.7133194327052559,0.708368668158308
6,0.6836255192756653,0.0010000000474974513,1.1240869760513306,0.7541770935058594,0.7257861779426059,0.9604718685150146,0.7509340592322263,0.7156351783230827
7,0.711725115776062,0.0010000000474974513,1.0492966175079346,0.7966791987419128,0.7735159442832961,0.8603233098983765,0.7875867080012662,0.764845387234705
8,0.7316843867301941,0.0010000000474974513,0.9919756054878235,0.8094193935394287,0.7892343773683305,0.8240429162979126,0.8040365039935499,0.7841034409608915
9,0.7473126649856567,0.0010000000474974513,0.951035737991333,0.8262322545051575,0.8080775378682329,0.7754209637641907,0.821382795939556,0.7998068109399932
10,0.7624973654747009,0.0010000000474974513,0.9046773314476013,0.8225772976875305,0.8012508878834455,0.7636253237724304,0.8304855278282886,0.7852528892954714
11,0.7764558792114258,0.0010000000474974513,0.8632237911224365,0.8454469442367554,0.8294426089924049,0.7109644412994385,0.8381734308108443,0.829259718304992
12,0.78605717420578,0.0010000000474974513,0.8363392949104309,0.8508771657943726,0.8360913324591553,0.7032478451728821,0.8527797701181757,0.8270570853219074
13,0.7918232083320618,0.0010000000474974513,0.8194088339805603,0.8416875600814819,0.8301447496513422,0.7157368659973145,0.8379582704076993,0.8302024665205946
14,0.8071905374526978,0.0010000000474974513,0.781047523021698,0.8578738570213318,0.8438391678359252,0.6576352119445801,0.858082326665003,0.8367280293046512
15,0.8100083470344543,0.0010000000474974513,0.765924870967865,0.8668546080589294,0.8560700747684115,0.6268120408058167,0.8589159154573281,0.8558656500924496
16,0.8201836943626404,0.0010000000474974513,0.7374719977378845,0.8760442733764648,0.863138189401683,0.6159070134162903,0.870452140025753,0.8590300181421201
17,0.8243581652641296,0.0010000000474974513,0.7258873581886292,0.8579782843589783,0.8447050284639636,0.6465186476707458,0.8620239869957508,0.8418079868041715
18,0.8275151252746582,0.0010000000474974513,0.7132420539855957,0.8862782120704651,0.8738301015551654,0.5738290548324585,0.8836433337670798,0.8684415677023405
19,0.8347944021224976,0.0010000000474974513,0.6948444843292236,0.8875313401222229,0.8754919698412768,0.5692777037620544,0.8779005952299093,0.8772297805400281
20,0.836725115776062,0.0010000000474974513,0.6822397112846375,0.8906641602516174,0.8789571196307513,0.5550723075866699,0.8874642096747354,0.8735453231230269
21,0.8422563076019287,0.0010000000474974513,0.6654180288314819,0.8759398460388184,0.8654544471220852,0.5898456573486328,0.867087564114169,0.8698118366776497
22,0.8413431644439697,0.0010000000474974513,0.6622623801231384,0.8825187683105469,0.8753995416229113,0.5650643706321716,0.8824811005154248,0.8744380035051833
23,0.8487789630889893,0.0010000000474974513,0.6404892206192017,0.8987051248550415,0.8912138689200808,0.527502715587616,0.8926277083316271,0.8907885744396665
24,0.8504487872123718,0.0010000000474974513,0.63862544298172,0.8976607918739319,0.8888372506484475,0.5180189609527588,0.8987150639294691,0.8822088820870349
25,0.853240430355072,0.0010000000474974513,0.6310340166091919,0.9076858758926392,0.8991222571616512,0.49579572677612305,0.9024988001397265,0.897559173948137
26,0.8572062253952026,0.0010000000474974513,0.6125907897949219,0.9091478586196899,0.9013665164291971,0.493582546710968,0.9054757781822925,0.8980928219897423
27,0.8595283031463623,0.0010000000474974513,0.6007178425788879,0.8987051248550415,0.8894596750510613,0.5193440914154053,0.8999849797177721,0.8826776999802152
28,0.8615372776985168,0.0010000000474974513,0.5965116620063782,0.8953633904457092,0.8868912299047387,0.5202301144599915,0.8885206457140292,0.8877884269864817
29,0.8616155385971069,0.0010000000474974513,0.5982017517089844,0.9063283205032349,0.8980824859461444,0.491625040769577,0.8988804412577238,0.8992628555972938
30,0.8644593954086304,0.0010000000474974513,0.5825378894805908,0.9147869944572449,0.9061895173946821,0.47417834401130676,0.9036438526276519,0.9094886279747233
31,0.8677468299865723,0.0010000000474974513,0.5851255655288696,0.9101921319961548,0.9012705788882672,0.4826522469520569,0.90105162995452,0.9023433167149751
32,0.8715299367904663,0.0010000000474974513,0.5671051144599915,0.9090434312820435,0.8984959590651106,0.48148247599601746,0.9048335287436235,0.8950862994385788
33,0.8696253299713135,0.0010000000474974513,0.5626977682113647,0.9135338068008423,0.9061569382582445,0.47194525599479675,0.9071838912108312,0.9063176740227769
34,0.8711125254631042,0.0010000000474974513,0.5654003024101257,0.9069548845291138,0.8981117933127455,0.48338761925697327,0.8966571459341828,0.9019123672501271
35,0.872208297252655,0.0010000000474974513,0.5610182285308838,0.9081035852432251,0.902674146877393,0.4905637800693512,0.9060882039479088,0.9020662581600344
36,0.8739563822746277,0.0010000000474974513,0.5515382289886475,0.9012113809585571,0.8932799697556203,0.498858779668808,0.8990694486993318,0.8916926402209109
37,0.8775047063827515,0.0010000000474974513,0.5435913801193237,0.8934836983680725,0.8867543883172017,0.5188522934913635,0.8988509621738742,0.8810841064985518
38,0.8798789381980896,0.0010000000474974513,0.5333244204521179,0.9115496873855591,0.904464677500281,0.47256797552108765,0.9130171713424158,0.8985195045002198
